iter	Passed	Remaining
804	41539	10062
805	41577	10007
806	41623	9954
807	41681	9904
808	41735	9853
809	41817	9808
810	41864	9756
811	41904	9701
812	41949	9648
813	41999	9596
814	42048	9544
815	42085	9489
816	42123	9435
817	42161	9380
818	42209	9328
819	42257	9276
820	42306	9224
821	42351	9171
822	42390	9116
823	42430	9062
824	42474	9009
825	42535	8960
826	42587	8908
827	42672	8864
828	42729	8814
829	42795	8765
830	42892	8722
831	42953	8673
832	43022	8625
833	43073	8573
834	43112	8519
835	43157	8466
836	43198	8412
837	43294	8369
838	43343	8317
839	43382	8263
840	43438	8212
841	43474	8157
842	43513	8103
843	43550	8049
844	43587	7995
845	43636	7943
846	43685	7891
847	43734	7839
848	43780	7786
849	43864	7740
850	43906	7687
851	43936	7632
852	43995	7581
853	44068	7533
854	44130	7484
855	44192	7434
856	44251	7383
857	44337	7337
858	44375	7283
859	44424	7231
860	44472	7179
861	44552	7132
862	44606	7081
863	44665	7030
864	44736	6981
865	44788	6930
866	44833	6877
867	44870	6823
868	44931	6773
869	45005	6724
870	45055	6672
871	45103	6620
872	45163	6570
873	45224	6519
874	45263	6466
875	45298	6412
876	45336	6358
877	45384	6306
878	45433	6254
879	45493	6203
880	45557	6153
881	45606	6101
882	45653	6049
883	45701	5997
884	45747	5944
885	45789	5891
886	45834	5839
887	45872	5785
888	46043	5748
889	46241	5715
890	46386	5674
891	46521	5632
892	46643	5588
893	46826	5552
894	46984	5512
895	47165	5474
896	47267	5427
897	47385	5382
898	47665	5355
899	47972	5330
900	48121	5287
901	48232	5240
902	48440	5203
903	48497	5150
904	48557	5097
905	48621	5044
906	48692	4992
907	48754	4939
908	48940	4899
909	49094	4855
910	49219	4808
911	49388	4765
912	49498	4716
913	49583	4665
914	49649	4612
915	49752	4562
916	49824	4509
917	49911	4458
918	49984	4405
919	50065	4353
920	50153	4301
921	50261	4252
922	50396	4204
923	50493	4153
924	50677	4108
925	50825	4061
926	51019	4017
927	51093	3964
928	51177	3911
929	51288	3860
930	51385	3808
931	51481	3756
932	51534	3700
933	51581	3644
934	51631	3589
935	51706	3535
936	51778	3481
937	51827	3425
938	51889	3370
939	51954	3316
940	52035	3262
941	52074	3206
942	52134	3151
943	52193	3096
944	52278	3042
945	52341	2987
